id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria
192,Apartamento,Venda,São Luís/MA,Ponta D Areia,4,4,4,3500000,Pereira Feitosa
193,Apartamento,Venda,São Luís/MA,Ponta D Areia,4,4,3,1800000,Pereira Feitosa
194,Apartamento,Venda,São Luís/MA,Calhau,2,1,2,295000,Pereira Feitosa
195,Casa,Venda,São Luís/MA,Cidade Operária,3,1,0,280000,Pereira Feitosa
196,Apartamento,Venda,São Luís/MA,Ponta do Farol,4,4,3,2200000,Pereira Feitosa
197,Casa,Venda,São José de Ribamar/MA,Araçagy,5,3,2,450000,Pereira Feitosa
198,Casa,Venda,São Luís/MA,Alto do Calhau,2,1,2,400000,Pereira Feitosa
199,Apartamento,Venda,São Luís/MA,Ponta do Farol,4,3,2,850000,Pereira Feitosa
200,Casa,Venda,São Luís/MA,Cidade Operária,3,1,2,250000,Pereira Feitosa
201,Apartamento,Venda,São Luís/MA,Jardim São Francisco,3,2,2,680000,Pereira Feitosa
202,Apartamento,Venda,São Luís/MA,Maranhão Novo,2,0,1,170000,Pereira Feitosa
203,Casa,Venda,São Luís/MA,Cohatrac IV,3,1,2,280000,Pereira Feitosa
204,Casa,Venda,São Luís/MA,Alto do Calhau,2,1,4,450000,Pereira Feitosa
205,Apartamento,Venda,São Luís/MA,Cohama,3,1,2,280000,Pereira Feitosa
206,Casa,Venda,São Luís/MA,São Francisco,5,3,5,550000,Pereira Feitosa
207,Apartamento,Venda,São Luís/MA,São Francisco,2,1,2,250000,Pereira Feitosa
208,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,2,0,2,280000,Pereira Feitosa
209,Casa,Venda,São Luís/MA,Parque Athenas,0,0,0,450000,Pereira Feitosa
210,Casa,Venda,São Luís/MA,Olho D Água,2,1,7,950000,Pereira Feitosa
211,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,0,1,350000,Pereira Feitosa
212,Apartamento,Venda,São Luís/MA,Cohajap,3,2,2,390000,Pereira Feitosa
213,Apartamento,Venda,São Luís/MA,Jardim Renascença,0,0,2,550000,Pereira Feitosa
214,Apartamento,Venda,São Luís/MA,Calhau,4,4,0,1200000,Pereira Feitosa
215,Casa,Venda,São José de Ribamar/MA,Araçagy,4,4,8,950000,Pereira Feitosa
216,Casa,Venda,São Luís/MA,COHAB Anil I,5,0,0,395000,Pereira Feitosa
217,Casa,Venda,Paço do Lumiar/MA,Araçagy,3,2,2,320000,Pereira Feitosa
218,Apartamento,Venda,São Luís/MA,Calhau,3,1,2,370000,Pereira Feitosa
219,Casa,Venda,São Luís/MA,Centro,0,0,3,350000,Pereira Feitosa
220,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,1,2,450000,Pereira Feitosa
221,Casa,Venda,São Luís/MA,Quintas do Calhau,0,0,4,1500000,Pereira Feitosa
222,Casa,Venda,São Luís/MA,Olho D Água,4,4,2,1400000,Pereira Feitosa
223,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,1,1,370000,Pereira Feitosa
224,Casa,Venda,São Luís/MA,Centro,0,0,0,350000,Pereira Feitosa
225,Apartamento,Venda,São Luís/MA,Olho D Água,4,4,4,2500000,Pereira Feitosa
226,Casa,Venda,São Luís/MA,Recanto Vinhais,5,3,6,650000,Pereira Feitosa
227,Casa,Venda,São Luís/MA,Ipase,3,2,2,370000,Pereira Feitosa
228,Apartamento,Venda,São Luís/MA,Ponta D Areia,0,0,0,1600000,Pereira Feitosa
229,Apartamento,Venda,São Luís/MA,Olho D Água,4,2,2,800000,Pereira Feitosa
230,Casa,Venda,São José de Ribamar/MA,Araçagy,0,0,3,500000,Pereira Feitosa
231,Casa,Venda,São Luís/MA,Bequimão,3,1,2,250000,Pereira Feitosa
